違規態樣,件數,金額總和,金額平均
雇主對於勞動場所作業之車輛機械，應規定駕駛者或有關人員負責執行：使用座式操作之配衡型堆高機及側舉型堆高機，應使擔任駕駛之勞工確實使用駕駛座安全帶。 雇主對於荷重在一公噸以上之堆高機，應指派經特殊作業安全衛生教育訓練人員操作。,1,0,0
本法施行細則第十七條第二項第四款規定之作業場所，雇主未依下列規定，實施作業環境監測：一、…六、鉛中毒預防規則所稱鉛作業之作業場所，應每年監測鉛濃度一次以上。,1,0,0
雇主對於射出成型機、鑄鋼造形機、打模機、橡膠加硫成型機、輪胎成型機及其他加壓成型之機械等，有危害勞工之虞者，應設置安全門、雙手操作式安全裝置、感應式安全裝置或其他安全裝置。,1,0,0
對於使用座式操作之配衡型堆高機，擔任駕駛之勞工未確實使用駕駛座安全帶。,1,0,0
對於荷重在1公噸以上之堆高機作業，未指派經特殊作業安全衛生教育訓練人員操作；對於物料之搬運，運輸路線未妥善規劃並作標示。,1,0,0
雇主對勞工於以石綿板、鐵皮板、瓦、木板、茅草、塑膠等易踏穿材料構築之屋頂及雨遮，或於以礦纖板、石膏板等易踏穿材料構築之夾層天花板從事作業時，為防止勞工踏穿墜落，應採取下列設施：一、規劃安全通道，於屋架、雨遮或天花板支架上設置適當強度且寬度在三十公分以上之踏板。 對於在高度二公尺以上之高處作業，勞工有墜落之虞者，應使勞工確實使用安全帶、安全帽及其他必要之防護具。或採安全網等措施。,1,0,0
雇主對於機械、設備及其相關配件之掃除、上油、檢查、修理或調整有導致危害勞工之虞者，應停止相關機械運轉及送料。為防止他人操作該機械、設備及其相關配件之起動等裝置或誤送料，應採上鎖或設置標示等措施，並設置防止落下物導致危害勞工之安全設備與措施 雇主對於下列機械部分，其作業有危害勞工之虞者，應設置護罩、護圍或具有連鎖性能之安全門等設備。五、電腦數值控制或其他自動化機械具有危險之部分。,1,0,0
不當影響、妨礙或限制工會之成立、組織或活動。,1,100000,100000
延長工時超過法令限定,1,20000,20000
雇主使勞工於第三十六條所定休息日工作，工作時間在二小時以內者，其工資按平日每小時工資額另再加給一又…,1,50000,50000
雇主延長勞工之工作時間超過法令規定;未有每7日中應有1日為例假,1,60000,60000
未有連續30分鐘休息時間,1,20000,20000
特別休假未由勞工自行排定。,1,20000,20000
未依法提供工資各項目計算方式明細,1,20000,20000
工資之給付，除當事人有特別約定或按月預付者外，每月至少定期發給二次，並應提供工資各項目計算方式明細；按件計酬者亦同。;雇主延長勞工工作時間者，其延長工作時間之工資，依下列標準加給：一、延長工作時間在二小時以內者，按平…,1,70000,70000
延遲給付工資予勞工。,1,20000,20000
未有每7日中應有1日為例假;勞工之特別休假，因契約終止而未休之日數，雇主未於契約終止後次一個約定之工資給付日發給工資,1,40000,40000
延長工作時間連同正常工作時間超過12小時,1,50000,50000
女工分娩後，產假期間未停止工作,1,90000,90000
未依規定提供工資項目計算方式明細;延長工作時間未依規定加給工資。,1,40000,40000
工資未全額直接給付勞工;未經勞資會議同意而實施八週彈性工時制度;未依規定給付特別休假未休之工資,1,60000,60000
使勞工延長工時超過法定限制,1,20000,20000
使勞工延長工時超過法定限制;未依法給予勞工休息日及例假,1,40000,40000
延長勞工工作時間超過法定規定;實施延長工作時間管制未依規定報請當地主管機關備查,1,70000,70000
勞工之特別休假期日未由勞工自行排定;勞工之特別休假，因年度終結或契約終止而未休之日數，雇主未發給工資,1,40000,40000
有使勞工延長工作時間逾法令限制,1,50000,50000
延長勞工工作時間者，其延長工作時間之工資，應依標準加給,1,50000,50000
未依規定給付延長工時工資;未依規定給付國定假日出勤加倍工資,1,40000,40000
工作規則未經主管機關核備,1,20000,20000
拒絕勞動檢查作業。,1,30000,30000
雇主應於每年年底，為次一年度預估成就退休要件勞工在次年3月底前於專戶足額提撥退休金。,1,90000,90000
延長工作時間逾法定上限,1,20000,20000
未核備工作規則,1,20000,20000
未依規定逐日記載勞工出勤情形至分鐘為止,1,30000,30000
未依規定訂定工作規則報請主管機關核備後公開揭示,1,20000,20000
"一、性別平等工作法第21條規定：受僱者依前七條之規定為請求時，雇主不得拒絕。受僱者為前項之請求時，雇主不得視為缺勤而影響其全勤獎金、考績或為其他不利之處分。
二、性別平等工作法第38條規定：雇主違反第二十一條、第二十七條第四項或第三十六條規定者，處新臺幣二萬元以上三十萬元以下罰鍰。",1,10000,10000
延長工作時間超過法規規定;未依規定給付特別休假未休之工資,1,40000,40000
工資未定期給付勞工，或未提供工資各項目計算方式明細;出勤紀錄未逐日記載勞工出勤情形至分鐘為止,1,40000,40000
雇主應採取適當之措施，防治性騷擾之發生，僱用受僱者30人以上者，應訂定性騷擾防治措施、申訴及懲戒規範，並在工作場所公開揭示。,1,20000,20000
雇主僱用勞工30人以上，未訂立工作規則核備並公開揭示,1,20000,20000
雇主使勞工於第三十六條所定休息日工作，工作時間在二小時以內者，其工資按平日每小時工資額另再加給一又…;未逐日計載勞工出勤情形至分鐘為止,1,40000,40000
工資之給付，除當事人有特別約定或按月預付者外，每月至少定期發給二次，並應提供工資各項目計算方式明細；未逐日計載勞工出勤情形至分鐘為止,1,40000,40000
延長工時未依法令規定倍率計算加給工資;延長工作時間超過法規規定;使勞工連續出勤7日以上;未依規定給付特別休假未休之工資,1,80000,80000
延長工作時間超過法令規定;未依法給付休息日工作之工資;未使勞工每7日中有2日之休息，其中1日為例假，1日為休息日,1,60000,60000
未依規定給予特別休假;未依規定給付國定假日工資,1,40000,40000
雇主拒絕申訴人育嬰留職停薪申請;雇主因其請安胎假、產假予不利處分,1,40000,40000
未依規定計給勞工平日延長工作時間工資;使勞工延長工作時間超過法令規定,1,40000,40000
工資應全額直接給付勞工;勞工每七日中應有二日之休息，其中一日為例假，一日為休息日。,1,70000,70000
雇主延長勞工工作時間者，其延長工作時間之工資，依下列標準加給：一、延長工作時間在二小時以內者，按平...;每日正常工作時間超過8小時，每二週正常工作時間超過84小時;雇主僱用勞工30人以上，未訂立工作規則核備並公開揭示,1,60000,60000
未依規定提繳積欠工資墊償基金。,1,20000,20000
出勤紀錄應覈實逐日記載勞工實際出勤情形至分鐘,1,20000,20000
工資應全額直接給付勞工;雇主延長勞工工作時間者，其延長工作時間之工資，依下列標準加給：一、延長工作時間在二小時以內者，按平…;延長工作時間超過法令規定,1,60000,60000
未依規定繳納積欠工資墊償基金,1,20000,20000
未依規給付延長工時工資;延長工時超過法令限制,1,60000,60000
工資未全額直接給付勞工;未依規定給付延長工時工資,1,40000,40000
未依規定詳實記載勞工出勤情形至分鐘為止,1,20000,20000
未依規定給付延長工時工資;未依規定給予勞工特別休假,1,40000,40000
休息日出勤未依規定加給工資,1,50000,50000
工資未依法給付給勞工;未依規定置備勞工出勤紀錄;出勤紀錄未逐日記載勞工出勤情形至分鐘為止,1,130000,130000
未逐日詳實記載勞工出勤情形至分鐘為止,1,20000,20000
未依規定給付延長工時工資;出勤紀錄未依規定逐日記載至分鐘為止;每月延長工時超過法定上限;未有一例一休,1,80000,80000
雇主知悉性騷擾情形未採取立即有效之糾正及補救措施。,1,20000,20000
延長勞工之工作時間連同正常工作時間，延長之工作時間，1個月超過46小時。,1,50000,50000
延長勞工工作時間者，其延長工作時間之工資，應依標準加給；勞工延長工作時間超過法定時數；勞工每七日中應有二日之休息，其中一日為例假，一日為休息日,1,60000,60000
育嬰留職停薪遭不利處分,1,20000,20000
育嬰留職停薪復職遭拒,1,20000,20000
未逐日記載出勤情形至分鐘為止,1,20000,20000
因天災、事變或突發事件，雇主有使勞工在正常工作時間以外工作之必要者，得將工作時間延長之但應於延長開始後二十四小時內通知工會；無工會組織者，應報當地主管機關備查延長之工作時間，雇主應於事後補給勞工以適當之休息;因天災、事變或突發事件停止假期未依規定加給工資及補休。,1,40000,40000
勞工延長工作時間超過法定時數；勞工每七日中應有二日之休息，其中一日為例假，一日為休息日,1,200000,200000
"休息日出勤工作未依規定加給工資;
未依法訂立工作規則，報請主管機關核備後並公開揭示",1,40000,40000
雇主在勞工第50條規定之停止工作期間或第59條規定之醫療期間終止契約者。,1,90000,90000
每月延長工時超過法定上限;,1,40000,40000
勞工之特別休假，因年度終結或契約終止而未休之日數，雇主應發給工資。但年度終結未休之日數，經勞雇雙方協商遞延至次一年度實施者，於次一年度終結或契約終止仍未休之日數，雇主應發給工資;雇主應將勞工每年特別休假之期日及未休之日數所發給之工資數額，記載於勞工工資清冊，並每年定期將其內容以書面通知勞工。,1,40000,40000
未依法令規定核實記載出勤紀錄,1,20000,20000
延長工作時間超過法令規定。未依規定給予例假或休息日。,1,100000,100000
工資未全額直接給付勞工;未依規定置備勞工出勤紀錄,1,110000,110000
未按期給付勞工工資,1,60000,60000
出勤紀錄未依規定逐日記載至分鐘為止;國定假日出勤工資未加倍發給,1,40000,40000
雇主在勞工第50條規定之停止工作期間或第59條規定之醫療期間終止契約者,1,90000,90000
未依規定修正性騷擾防治措施、申訴及懲戒規範，並在工作場所公開揭示,1,20000,20000
延遲給付薪資,1,20000,20000
雇主延長工作時間未依規定加給工資；未依法定程序延長工作時間,1,40000,40000
未逐日記載勞工出勤情形至分鐘為止;未記載特別休假未休工資於工資清冊,1,40000,40000
未依規定置備勞工出勤紀錄，並保存5年;勞工職災醫療中不能工作，未按原領工資補償,1,110000,110000
無出勤紀錄,1,90000,90000
未依規定詳實記載勞工工資各項目計算方式明細,1,20000,20000
"拒絕、規避或阻撓勞工檢查員
依法執行職務",1,30000,30000
"未依規定詳實記載勞工出勤情形;未有7日內給予1日之休息,作例假",1,40000,40000
勞工在醫療中不能工作時，雇主應按其原領工資數額予以補償。,1,20000,20000
延長工作時間未依規定加給工資;國定假日出勤未加倍給薪,1,40000,40000
延長工作時間超過法令規定;假日工資未給或於休假日工作未依規定加給工資;延長工作時間未依規定加給工資,1,60000,60000
未依法保存勞工工資清冊;未依勞工請求發給服務證明書,1,40000,40000
工資未全額直接給付勞工;未覈實登載勞工出勤情形至分鐘為止,1,40000,40000
